name,borough,extant,cast,materials,MaintainedByParks
Peter Caesar Alberti Marker,Manhattan,Y,ca. 1985 (replica),Granite,Y         
Philip Hone,Manhattan,Y,ca. 1906,Westerly granite,
Philosophy,Manhattan,Y,ca. 1903,Westerly granite,
Pier A Clock Tower,Manhattan,M,ca. 1918,"Wood, etc.",
Pleasant Plains Memorial,Staten Island,Y,1996,Figure and plaques--bronze; Pedestal and base--black granite (polished),Y         
Ponies,Manhattan,Y,1935,Indiana limestone,
Poetry,Manhattan,Y,ca. 1903,Westerly granite,
Police Officer Jose A. Perez Plaque,Brooklyn,Y,ca. 1994,Bronze,Y         
Printing,Manhattan,Y,ca. 1905,Westerly granite,
Prison Ship Martyrs Monument,Brooklyn,Y,1908,"Bronze, Deer Isle granite",Y         
Private David W. Gentle Memorial Flagstaff,the Bronx,Y,1950,Base--concrete; Tablet--granite (rough cut),Y         
"Private Joseph F. Merrell, Jr. Memorial",Staten Island,Y,ca. 1995,Tablet--black marble (polished); boulder--granite,Y         
Prospect Park War Memorial,Brooklyn,Y,1921,Group and plaques--bronze; Pedestal and wall--Milford pink granite,
Prospect Park: 100th Anniversary Plaque,Brooklyn,Y,1966,Bronze,Y         
Puerto Rican Sun,the Bronx,Y,1979,Cor-ten steel,Y         
Queens County Farm Museum Landmark Plaque,Queens,Y,ca. 1989,bronze; granite (rough),
Pulitzer Fountain,Manhattan,Y,1916,Lower basins and horns--Hauteville marble; Sixth basin and figure--bronze,Y         
Pvt. Frederick Staats Memorial,Staten Island,Y,1991,Boulder with bronze tablet,Y         
Rabbi  Dr. I. Usher Kirshblum Memorial,Queens,Y,1986,Light granite (unpolished),Y         
Ralph Ellison Memorial,Manhattan,Y,2002,Bronze and deer isle granite,Y         
Raoul Wallenberg Marker,Queens,Y,ca. 1982,Marker and plinth--granite; base--concrete,Y         
Raoul Wallenberg Monument,Manhattan,Y,1998,Columns--black Swedish diabase; sphere--blue ceramic; replica of attaché case--bronze (red patina); paving blocks--basalt,Y         
Reaching Jaguar,the Bronx,Y,1926,Marble,
Recorder,Manhattan,Y,ca. 1903,Westerly granite,
Recording the Purchase of Manhattan Island,Manhattan,Y,ca. 1906,white marble,
Red Hook Park Memorial,Brooklyn,L,1921,"Figure, plaque--bronze; Pedestal--Somesound granite",
Red Hook Stadium Reliefs,Brooklyn,Y,ca. 1939,Cast stone,
Reverend Benjamin J. Lowry,Brooklyn,Y,1982,"Stainless steel, Ebony Mist granite",Y         
Rhesus and Ring-Tailed Lemurs,Manhattan,Y,1935,Indiana limestone,
Richard Tucker,Manhattan,Y,1979,"Bronze, granite",Y         
Richmond Hill War Memorial,Queens,Y,circa 1925,Figure and plaque--bronze; Pedestal--Deer Isle granite,Y         
Richmond War Memorial,Staten Island,Y,1920,Bronze,N         
Ridgewood Memorial,Queens,Y,1920,North Jay granite; bas-reliefs--bronze,Y         
