PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %)
KEONJHAR (ST),50,1048,25,3783,79,18,44,18,44,33,41
BALASORE,46,1060,27,3577,88,18,38,17,38,31,41
BARGARH,51,1002,30,4812,93,4,36,24,37,67,68
DHENKANAL,57,980,30,3976,90,6,28,20,32,38,41
BHADRAK (SC),46,1081,30,3798,89,16,34,16,30,25,42
JAJPUR (SC),48,1020,34,5141,93,8,30,16,30,30,43
BOLANGIR,73,1032,21,4988,87,8,44,26,44,67,61
KALAHANDI,57,1027,19,4714,79,6,37,25,39,65,66
KANDHAMAL,61,1046,20,3855,84,10,34,19,33,37,45
KENDRAPARA,57,1060,31,5210,94,11,21,10,20,23,40
CUTTACK,52,1000,27,4661,93,12,21,13,21,22,38
BHUBANESWAR,67,980,38,4789,85,7,24,13,20,19,45
JAGATSINGHPUR (SC),59,1019,33,5810,96,7,16,11,16,23,39
PURI,63,995,30,5165,91,10,22,14,20,24,43
NABARANGPUR (ST),48,1027,12,1883,66,6,43,32,49,71,68
ASKA,56,1111,22,5050,91,4,28,16,21,37,41
KORAPUT (ST),53,1046,13,2128,70,6,41,25,43,60,59
BERHAMPUR,56,1068,19,3939,77,5,30,17,26,47,49
PONDICHERRY,14,1102,64,2445,99,7,26,17,21,43,47
GURDASPUR,24,898,62,1631,87,3,22,15,21,71,54
HOSHIARPUR (SC),24,933,62,1789,89,6,22,16,20,66,57
AMRITSAR,24,916,53,1949,90,4,22,10,12,45,53
KHADOOR SAHIB,24,921,49,1915,89,7,23,16,21,52,55
JALANDHAR (SC),24,953,68,3135,95,8,29,17,25,60,53
ANANDPUR SAHIB,24,946,62,1657,91,5,22,15,20,64,67
FIROZPUR,24,875,41,1306,90,5,29,18,26,55,52
LUDHIANA,24,862,62,1269,82,4,30,17,28,60,65
FATEHGARH SAHIB (SC,24,894,56,2701,88,7,25,16,21,58,55
FARIDKOT (SC),24,889,48,1475,94,4,29,17,22,54,45
PATIALA,24,898,52,2594,92,8,22,15,16,50,44
SANGRUR,24,893,47,2973,88,10,27,18,19,51,47
BATHINDA,24,894,45,1491,93,4,28,14,21,53,47
GANGANAGAR(SC),48,928,30,896,86,5,32,20,26,43,34
CHURU,46,968,26,1230,82,5,33,21,25,44,34
BIKANER (SC),49,964,26,1495,80,7,31,22,29,44,37
JHUNJHUNU,49,1017,32,1633,94,8,30,12,20,47,35
BARMER,60,948,9,1355,55,6,36,23,38,51,38
ALWAR,52,937,28,1487,81,6,41,18,35,53,40
JODHPUR,48,934,17,11822,61,6,38,22,38,53,38
SIKAR,50,967,32,2375,92,11,32,12,22,49,29
JAIPUR RURAL,51,928,33,1926,87,9,38,15,30,51,33
BHARATPUR (SC),50,953,25,1641,80,8,44,16,33,55,40
NAGAUR,52,1011,23,9395,86,4,39,18,31,50,38
DAUSA (ST),51,957,31,1824,88,8,37,15,29,49,31
RAJSAMAND,53,1005,24,3317,85,7,38,25,37,62,50
PALI,50,1004,22,11537,77,5,42,22,39,58,46
AJMER,50,936,34,1913,90,11,34,22,32,59,40
JAIPUR,50,920,38,2364,93,13,35,12,25,49,27
KARAULI ?DHOLPUR(SC),63,952,20,1344,86,9,49,17,37,51,42
TONK ? SAWAI MADHOPUR,62,994,18,1241,90,6,35,20,35,62,50
BHILWARA,64,964,21,844,87,5,36,30,43,75,59
JALORE,68,978,13,1071,84,5,43,31,46,68,59
KOTA,50,936,27,861,92,4,35,27,41,76,61
JHALAWAR-BARAN,59,953,19,3260,95,3,39,30,44,76,62
CHITTORGARH,63,1005,20,894,79,7,42,26,46,75,65
UDAIPUR (ST),63,1025,23,1152,80,9,47,33,52,77,71
BANSWARA(ST),60,996,21,3196,89,6,48,34,52,80,74
SIKKIM,19,0,0,0,0,0,0,0,16,58,36
TRIPURA EAST(ST),21,994,20,4177,77,4,26,18,25,47,54
TRIPURA WEST,21,998,24,4707,83,4,22,17,22,51,54
TEHRI GARHWAL,43,1042,51,1955,73,18,31,38,38,62,46
GARHWAL,32,1139,51,2716,66,15,29,23,27,57,40
ALMORA (SC),27,1156,40,2120,67,18,29,19,21,46,36
HARDWAR,49,932,44,1998,73,17,33,21,27,60,48
NAINITAL-UDHAMSINGH NAG,32,973,44,4010,66,15,34,10,22,61,45
SAHARANPUR,76,954,33,2146,62,19,36,18,36,75,61
KAIRANA,63,968,32,1835,64,18,38,18,36,77,62
NAGINA (SC),62,1025,32,4615,73,10,42,22,41,72,58
MORADABAD,63,999,29,3187,67,13,43,19,42,73,60
BIJNOR,54,979,33,2388,68,17,39,20,37,74,60
MUZAFFARNAGAR,50,956,33,1275,65,21,38,18,36,75,62
BAGHPAT,49,909,40,1363,69,19,35,15,32,71,60
RAMPUR,60,986,20,1164,61,20,46,20,44,77,58
MEERUT,48,914,40,1503,66,20,35,16,32,67,58
AMROHA,59,951,36,1459,67,11,39,18,36,68,61
SAMBHAL,64,973,25,1760,61,17,45,16,43,74,62
GHAZIABAD,46,899,43,1981,68,16,34,13,29,62,56
PILIBHIT,75,958,23,902,61,18,48,20,43,75,55
BAREILLY,78,979,23,998,59,19,45,18,42,74,53
BULANDSHAHR (SC),68,1002,28,3482,68,10,43,16,33,65,56
GAUTAM BUDDHA NAGAR,62,923,36,3022,69,12,37,16,31,67,56
KHERI,78,935,15,1383,52,11,53,17,40,49,43
AONLA,81,980,20,1126,59,17,50,19,47,66,50
BADAUN,84,981,17,1255,58,16,55,20,53,58,47
SHAHJAHANPUR (SC),80,952,23,1043,52,11,49,23,54,76,60
BAHRAICH (SC),66,988,16,2356,37,21,65,13,44,73,52
ALIGARH,70,932,29,2073,65,19,49,14,38,66,56
DHAURAHRA,79,923,18,1475,60,15,55,15,44,51,40
ETAH,67,940,31,1430,61,13,51,9,32,40,36
HATHRAS (SC),63,932,29,2073,65,19,49,14,38,66,56
MATHURA,44,903,32,1328,70,10,40,12,27,56,45
SHRAWASTI,91,1059,11,1814,39,13,63,10,41,71,52
SITAPUR,80,912,21,1568,67,18,56,14,48,52,38
HARDOI (SC),81,945,24,1488,65,11,50,14,39,44,33
FARRUKHABAD,72,960,30,1380,56,12,50,9,31,39,31
AGRA (SC),59,940,33,1889,70,13,47,12,33,45,39
FIROZABAD,56,961,32,1441,67,14,44,11,27,47,34
KAISERGANJ,68,1022,18,2498,46,17,61,11,41,73,53
MISRIKH (SC),66,915,35,1600,69,13,50,17,43,56,43
DOMARIYAGANJ,87,1117,18,1863,45,29,57,13,43,65,56
MAINPURI,53,959,38,1469,67,12,49,11,32,40,27
MAHARAJGANJ,78,1093,20,2191,61,17,53,12,37,58,48
GONDA,79,1067,16,2126,43,12,59,10,41,72,55
MOHANLALGANJ (SC),62,915,38,1660,77,14,46,23,46,62,48
BARABANKI (SC),68,1022,25,2625,62,12,51,12,40,43,38
FATEHPUR SIKRI,51,941,36,2348,78,13,44,14,34,51,43
KUSHI NAGAR,80,1094,25,4125,70,19,45,14,35,58,50
KANNAUJ,67,939,35,1378,68,13,46,18,38,62,52
GORAKHPUR,62,1098,38,2301,76,25,42,19,35,59,51
BASTI,81,1086,30,4428,73,10,48,14,33,71,55
SANT KABIR NAGAR,62,1109,37,2014,75,21,45,17,37,63,52
UNNAO,58,1011,28,1130,68,8,46,13,34,43,36
FAIZABAD,78,1039,30,2189,70,15,50,15,42,53,49
LUCKNOW,44,919,56,1752,88,9,37,33,44,72,58
ETAWAH (SC),59,921,38,1378,72,11,47,17,38,61,52
DEORIA,75,1125,32,3077,76,14,43,14,33,63,53
BANSGAON (SC),66,1127,39,2165,79,17,41,17,33,64,54
AMBEDKAR NAGAR,75,1075,40,1519,79,19,46,21,42,62,58
AMETHI,49,1063,31,1978,77,10,41,25,40,63,51
AKBARPUR,51,887,48,1417,74,10,44,19,38,69,60
RAE BARELI,53,1049,31,1691,81,10,36,31,41,60,46
SULTANPUR,45,1078,32,2266,73,9,45,19,39,66,57
KANPUR,37,889,59,1744,76,10,43,24,41,73,58
JALAUN (SC),57,919,38,2107,80,9,42,24,41,76,59
SALEMPUR,69,1110,38,2016,77,12,40,14,31,64,52
LALGANJ (SC),74,1135,47,1946,84,20,40,16,33,61,59
AZAMGARH,74,1135,47,1946,84,20,40,16,33,61,59
GHOSI,71,1078,38,4036,75,20,40,16,33,60,50
FATEHPUR,55,1008,32,1407,69,10,52,14,40,44,40
JAUNPUR,75,1115,39,1557,73,16,48,27,52,58,51
PRATAPGARH,84,1122,36,1755,77,5,41,23,42,61,51
HAMIRPUR,48,932,28,1823,82,7,43,24,43,65,57
BALLIA,73,1088,39,2047,74,11,40,15,31,64,55
KAUSHAMBI (SC),83,1073,28,1583,74,5,45,26,47,64,54
GHAZIPUR,77,1112,41,2090,75,7,41,17,31,68,61
MACHHLISHAHR (SC),73,1033,41,2074,77,16,46,26,49,58,51
PHULPUR,81,1034,43,1649,73,12,43,20,43,60,55
BANDA,61,971,25,1185,74,9,48,25,47,67,61
JHANSI,57,937,30,968,84,11,38,33,44,76,51
BHADOHI,81,1055,38,1446,77,16,47,20,46,61,55
CHANDAULI,74,978,42,2339,79,16,44,21,40,62,57
ALLAHABAD,81,1034,43,1649,73,12,43,20,43,60,55
VARANASI,72,951,44,2592,82,16,44,25,45,58,50
MIRZAPUR,80,955,34,1312,72,12,49,20,46,63,55
ROBERTSGANJ (SC),73,970,34,1973,67,14,44,20,40,62,62
