PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %),Rural_MPCE_URP,Urban_MPCE_URP,Rural_MPCE_MRP,Urban_MPCE_MRP,Rural_LFPR,Urban_LFPR
ATTINGAL,12,1122,68,8787,100,2,19,13,21,20,22,3083.839097,4588.976464,2698.057603,4563.777531,0.564749752107968,0.523170546562918
THIRUVANANTHAPURA,12,1122,68,8787,100,2,19,13,21,20,22,3083.839097,4588.976464,2698.057603,4563.777531,0.564749752107968,0.523170546562918
TIRUVALLUR (SC),20,980,56,2075,99,7,30,23,26,50,55,1738.726078,2521.027609,1768.167983,2625.707406,0.622241605404129,0.516892214303196
ARAKKONAM,20,1008,53,1777,99,8,29,25,29,50,55,1608.256637,2029.4881025,1673.7033665,2181.033373,0.57102935028599,0.508338673474079
CHENNAI NORTH,20,1006,63,1946,99,9,30,20,21,47,54,1738.726078,2873.363354,1768.167983,3056.873746,0.622241605404129,0.538153212618675
SRIPERUMBUDUR,20,972,57,2346,99,5,27,18,21,47,54,1617.5398385,2510.7829755,1674.606129,2571.9260535,0.632349379469033,0.53154108006122
VELLORE,20,1037,49,1479,100,8,29,27,32,50,55,1477.787196,1537.948596,1579.23875,1736.35934,0.51981709516785,0.499785132644963
CHENNAI CENTRAL,20,1032,70,1818,100,10,30,18,17,44,53,0,3225.699099,0,3488.040086,0,0.559414210934154
CHENNAI SOUTH,20,998,64,2217,100,7,27,16,16,44,53,1496.353599,2863.1187205,1581.044275,3003.0923935,0.642457153533937,0.552802078376699
KANCHEEPURAM (SC),20,964,58,2617,100,3,25,13,16,45,53,1496.353599,2500.538342,1581.044275,2518.144701,0.642457153533937,0.546189945819244
KRISHNAGIRI,20,1009,50,2108,95,10,25,20,23,52,47,1570.044663,2983.992566,1808.671539,3379.819435,0.709750918565386,0.528924162257496
ARANI,20,1028,42,1846,97,11,28,25,31,57,60,1040.09815975,1446.722924,1061.6400751,1555.0963395,0.539739166742309,0.482083043608486
TIRUVANNAMALAI,20,1024,46,1722,98,9,26,31,33,54,57,1298.6763735,1479.4186445,1406.660147,1690.4846885,0.51981709516785,0.499785132644963
DHARMAPURI,20,1009,49,2014,98,7,25,27,25,54,57,1608.94217,1713.6998935,1908.145039,1806.3273815,0.726740739143706,0.615538263975274
VILUPPURAM (SC),20,1046,42,1727,99,11,31,16,28,57,62,960.6307685,1472.557155,889.1986062,1465.582642,0.539739166742309,0.482083043608486
KALLAKURICHI,20,1023,47,1980,98,10,29,19,25,53,59,1160.46466625,1535.8550595,1206.1507286,1575.571873,0.645830462977609,0.544783055026542
SALEM,20,1000,51,2233,97,8,27,22,22,50,55,1360.298564,1599.152964,1523.102851,1685.561104,0.751921759212909,0.607483066444598
TIRUPPUR,20,997,50,2434,99,8,26,18,19,47,50,1620.3925675,2900.1979735,1689.759022,2986.470178,0.690655142732423,0.638681306907229
CUDDALORE,20,1026,46,3150,98,6,28,19,25,53,59,1109.55543,1609.721366,1060.802108,1485.255055,0.475267068978052,0.447400230636878
NILGIRIS (SC),20,1017,53,2345,99,8,28,22,23,49,50,1504.24516666667,2557.31273466667,1559.69007933333,2729.568305,0.676523501993129,0.635950272108373
NAMAKKAL,20,1004,50,2297,98,7,26,18,20,49,52,1517.6134765,1625.5160335,1691.03516,1811.8576885,0.696539719246092,0.586473297613242
CHIDAMBARAM (SC),20,1078,47,2860,99,11,26,18,23,54,59,1962.55946,1679.762417,1767.678513,1727.9267015,0.57639716364842,0.45255151695575
PERAMBALUR,20,1078,49,1992,99,10,27,20,26,56,60,2052.973219,2411.986139,1918.50675066667,2253.08732,0.640921896938113,0.54191477505842
ERODE,20,1004,48,2400,100,7,25,15,17,50,48,1739.57801,2209.487361,1818.913044,2251.6667575,0.67232758211078,0.625895702967796
MAYILADUTHURAI,20,1065,47,2487,99,6,25,18,22,48,54,1477.1671,1951.9730505,1620.3285085,2146.355959,0.603557076676984,0.481932900803328
COIMBATORE,20,994,51,2429,99,7,27,21,22,43,54,1436.557504,3033.300328,1600.659425,3407.761114,0.677812800522561,0.591034736660753
KARUR,20,1052,48,2298,99,7,28,22,27,50,56,1731.30107775,2357.42683625,1684.74950125,2173.9392835,0.646497076085763,0.549681066129085
POLLACHI,20,994,51,2429,99,7,27,21,22,43,54,1436.557504,3033.300328,1600.659425,3407.761114,0.677812800522561,0.591034736660753
TIRUCHIRAPPALLI,20,1067,51,2302,99,5,28,19,26,52,60,1810.168408,2538.861133,1690.264852,2166.244584,0.67084474927726,0.542826438549008
THANJAVUR,20,1065,48,2482,99,6,27,21,26,53,58,1453.4375435,2075.5422805,1701.5107695,2162.745237,0.594451232202503,0.448968895204786
NAGAPATTINAM (SC),20,1071,47,3048,99,5,26,19,26,47,55,1445.3855555,1798.651517,1663.408742,1941.544384,0.595570644836221,0.549772836506721
DINDIGUL,20,1019,42,2344,99,8,31,26,29,43,51,1603.173636,2047.711498,1659.521505,2157.386244,0.684244698594777,0.499786656782202
SIVAGANGA,20,1142,49,3523,99,7,23,19,23,48,54,1620.873764,1747.5959035,1464.4488025,1768.02933,0.685815298243309,0.570622001064892
